trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.5, 'e': 0.4367863958719317}",25,12,-17.241261829393142,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",20,10,-2.851440394697648,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.41948965459540316}",20,13,9.26707798336935,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.4110998615034951}",25,0,-77.90745080127375,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",20,9,3.1243895780705317,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.3948203069879567}",20,1,-4.277314081643193,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",25,5,-3.272809350991719,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",30,3,29.559818003060286,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.3716017143746089}",20,0,11.584345235122218,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.36416968008711675}",20,6,-66.82291359139627,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.3568862864853744}",30,0,-17.226238162870363,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.3497485607556669}",25,13,-49.24455064003034,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.34275358954055357}",25,2,-62.57762211935819,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.3358985177497425}",30,8,-180.28036011742827,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 3}",1
55,False,"{'a': 0.5, 'e': 0.3291805473947476}",25,3,6.981071905282564,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.32259693644685267}",20,4,-4.904338923723775,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.3161449977179156}",20,8,11.97691944608038,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.3098220977635573}",25,8,-27.141801489574952,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",20,0,15.16742376114112,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",20,0,17.363897996491648,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.291602079838278}",30,0,23.741408389522853,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",20,7,18.826849882118182,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",20,0,-21.242600518495728,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.2744535447271485}",25,11,-33.08521034922779,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",20,10,15.965190348305264,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",25,13,21.190937334526645,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",20,4,15.559814953124203,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",25,15,-18.690416715447707,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.2480842668343485}",25,14,-1.9879855264096067,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.24312258149766153}",20,0,-17.06935543385782,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",20,4,21.65994171854743,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",20,0,-24.94344328880314,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.22882502872494706}",20,4,15.976344294820233,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.2242485281504481}",20,11,5.740785101972926,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.21976355758743912}",20,13,-4.472751134406395,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21536828643569034}",20,10,19.31433338616334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",25,9,30.76704493062163,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.206839702292837}",20,4,7.005562916298546,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.20270290824698026}",25,9,26.660101816642538,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.19864885008204064}",30,18,2.1068064334793846,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.19467587308039982}",30,16,24.01991413005284,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19078235561879184}",20,6,-41.83194951708752,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.186966708506416}",20,10,16.50522691652153,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18322737433628766}",20,0,-20.390020526629318,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.1795628268495619}",25,13,10.499712168034883,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.17597157031257066}",25,18,13.115041686981392,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.17245213890631925}",20,0,22.947024568062336,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.16900309612819286}",20,13,-9.331883773570894,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.16562303420562902}",25,8,28.05520492234217,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.16231057352151643}",30,12,23.2059405480662,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.1590643620510861}",20,0,21.381831387629003,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.15588307481006436}",20,8,-35.223238750877755,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.15276541331386306}",25,2,-48.25722084593361,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.1497101050475858}",25,2,-14.152467137406438,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14671590294663409}",20,10,12.01097015006816,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.1437815848877014}",25,0,18.838959880769178,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.1409059531899474}",20,0,-11.128972443293774,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.13808783412614842}",20,0,13.350550712072659,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.13532607744362546}",20,0,31.563653072087234,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.13261955589475294}",25,8,21.46038414739769,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.12996716477685788}",25,13,21.638150558304822,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
