trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.5, 'e': 0.054519881060987964}",25,13,20.6392750636373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.05342948343976821}",20,6,20.559329277742524,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.05236089377097284}",20,13,13.261074304465717,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.051313675895553384}",25,11,23.110172636221495,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.050287402377642315}",20,3,27.695620914597228,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.049281654330089464}",25,18,10.910481381289244,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.048296021243487676}",20,8,19.655750888794454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.04733010081861792}",25,9,27.862390508304184,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.046383498802245564}",30,6,27.968559569070866,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.04545582882620065}",20,13,11.620754510200133,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.044546712249676636}",20,0,32.44011456717331,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.04365577800468311}",20,8,21.650637119044745,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.04278266244458944}",25,14,15.222038615736741,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.041927009195697654}",25,18,12.389024169719029,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.041088469011783695}",20,4,24.769863168698276,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.040266699631548025}",25,17,15.415225962758852,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.03946136563891706}",20,5,25.16631610082468,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.03867213832613872}",35,23,-22.52473863258504,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.03789869555961595}",20,13,11.859947493945546,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.03714072164842362}",20,11,14.504537947144977,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.036397907215455154}",20,8,13.648643142965465,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.03566994907114605}",25,14,18.692709904509748,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.03495655008972313}",20,11,17.047655623658517,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.03425741908792866}",25,3,22.466098976064174,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.03357227070617009}",25,11,28.452361433249074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.03290082529204669}",20,16,8.702377806060113,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.03224280878620575}",30,22,13.965824909964455,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.031597952610481636}",20,10,17.76102565861101,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.030965993558272006}",20,0,30.39084672272572,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.030346673687106564}",20,12,13.873650642012848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.02973974021336443}",30,7,41.7778189969199,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.029144945409097144}",20,3,27.941762312439693,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.0285620465009152}",25,12,17.98746889964249,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.027990805570896893}",25,13,21.630363013562537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.027430989459478958}",20,13,11.095134806334826,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.026882369670289376}",20,8,21.570961115191412,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.02634472227688359}",20,10,15.095212107774863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.025817827831345917}",25,11,19.53116654928596,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.025301471274718997}",20,10,18.446722795461028,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.024795441849224616}",25,16,18.77129284324406,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.024299533012240124}",25,10,23.83889958506557,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.023813542351995322}",20,9,23.51460364772101,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.023337271504955414}",30,17,25.04694493337176,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.022870526074856307}",30,13,28.818497198866392,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.02241311555335918}",30,16,24.889263906652435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.021964853242291995}",25,17,14.385555761359054,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.021525556177446156}",20,11,13.310422842719182,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.02109504505389723}",20,0,28.138186520686933,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
192,False,"{'a': 0.5, 'e': 0.020673144152819286}",25,3,35.387499769848276,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.0202596812697629}",25,15,19.57829748746421,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.019854487644367643}",20,10,21.150860609146953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.01945739789148029}",20,14,10.85616452239249,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
